M,N,VarE,Loss
5,5,0.0,0.8275001645088196
5,5,0.1,0.32828330993652344
5,5,0.3,1.1937662363052368
5,5,0.5,0.7650365233421326
5,10,0.0,1.2201930284500122
5,10,0.1,2.550766706466675
5,10,0.3,0.31207650899887085
5,10,0.5,1.4248671531677246
5,15,0.0,0.4735773205757141
5,15,0.1,2.7431015968322754
5,15,0.3,0.4232712388038635
5,15,0.5,1.0889434814453125
5,20,0.0,1.4199192523956299
5,20,0.1,0.652237594127655
5,20,0.3,1.0976604223251343
5,20,0.5,0.5770345330238342
10,5,0.0,0.8929149508476257
10,5,0.1,2.4926505088806152
10,5,0.3,2.357922077178955
10,5,0.5,1.9491792917251587
10,10,0.0,0.8831990361213684
10,10,0.1,0.7352933883666992
10,10,0.3,1.964393973350525
10,10,0.5,0.866355299949646
10,15,0.0,0.6003572940826416
10,15,0.1,0.37560391426086426
10,15,0.3,0.46600452065467834
10,15,0.5,0.823980450630188
10,20,0.0,3.3198230266571045
10,20,0.1,0.8667033314704895
10,20,0.3,0.9521344900131226
10,20,0.5,3.036377191543579
50,5,0.0,0.7945463061332703
50,5,0.1,0.8838640451431274
50,5,0.3,0.6950476169586182
50,5,0.5,2.6533749103546143
50,10,0.0,0.6347572207450867
50,10,0.1,4.884424686431885
50,10,0.3,2.1453182697296143
50,10,0.5,0.5313900709152222
50,15,0.0,0.2514375150203705
50,15,0.1,0.8308993577957153
50,15,0.3,0.9892662763595581
50,15,0.5,0.7789323329925537
50,20,0.0,0.17896686494350433
50,20,0.1,0.9973400831222534
50,20,0.3,0.6142327189445496
50,20,0.5,1.900952935218811
100,5,0.0,0.5388585329055786
100,5,0.1,0.7101932168006897
100,5,0.3,0.28390249609947205
100,5,0.5,1.445502519607544
100,10,0.0,0.5632816553115845
100,10,0.1,1.4529143571853638
100,10,0.3,1.4090826511383057
100,10,0.5,1.6602766513824463
100,15,0.0,0.890167236328125
100,15,0.1,0.3602437973022461
100,15,0.3,1.5545234680175781
100,15,0.5,1.496751070022583
100,20,0.0,1.739816665649414
100,20,0.1,0.23198366165161133
100,20,0.3,0.2765354514122009
100,20,0.5,0.5707634091377258
